Data_set_ID,Algorithm__id,Run_time_ID,Model_Name
1,1,1,GBM_4_AutoML_20190416_233703
1,1,1,GBM_2_AutoML_20190416_233703
1,1,1,GBM_3_AutoML_20190416_233703
1,1,1,GBM_1_AutoML_20190416_233703
1,1,1,GBM_5_AutoML_20190416_233703
1,2,1,DRF_1_AutoML_20190416_233703
1,6,1,DeepLearning_1_AutoML_20190416_233703
1,4,1,XRT_1_AutoML_20190416_233703
1,6,1,DeepLearning_grid_1_AutoML_20190416_233703_model_1
1,1,1,GBM_grid_1_AutoML_20190416_233703_model_1
1,5,1,StackedEnsemble_AllModels_AutoML_20190416_233703
1,5,1,StackedEnsemble_BestOfFamily_AutoML_20190416_233703
1,3,1,GLM_grid_1_AutoML_20190416_233703_model_1
1,1,2,GBM_1_AutoML_20190417_092107
1,1,2,GBM_grid_1_AutoML_20190417_092107_model_1
1,1,2,GBM_1_AutoML_20190417_103626
1,1,2,GBM_2_AutoML_20190417_092107
1,1,2,GBM_2_AutoML_20190417_103626
1,1,2,GBM_4_AutoML_20190417_092107
1,1,2,GBM_3_AutoML_20190417_103626
1,1,2,GBM_3_AutoML_20190417_092107
1,1,2,GBM_4_AutoML_20190417_103626
1,1,2,GBM_grid_1_AutoML_20190417_103626_model_1
1,1,2,GBM_5_AutoML_20190417_103626
1,1,2,GBM_5_AutoML_20190417_092107
1,2,2,DRF_1_AutoML_20190417_103626
1,2,2,DRF_1_AutoML_20190417_092107
1,4,2,XRT_1_AutoML_20190417_092107
1,6,2,DeepLearning_1_AutoML_20190417_092107
1,4,2,XRT_1_AutoML_20190417_103626
1,6,2,DeepLearning_1_AutoML_20190417_103626
1,1,2,GBM_grid_1_AutoML_20190417_103626_model_3
1,1,2,GBM_grid_1_AutoML_20190417_092107_model_2
1,6,2,DeepLearning_grid_1_AutoML_20190417_092107_model_1
1,6,2,DeepLearning_grid_1_AutoML_20190417_092107_model_3
1,6,2,DeepLearning_grid_1_AutoML_20190417_092107_model_2
1,1,2,GBM_grid_1_AutoML_20190417_103626_model_2
1,6,2,DeepLearning_grid_1_AutoML_20190417_103626_model_2
1,1,2,GBM_grid_1_AutoML_20190417_103626_model_4
1,6,2,DeepLearning_grid_1_AutoML_20190417_103626_model_1
1,5,2,StackedEnsemble_AllModels_AutoML_20190417_092107
1,5,2,StackedEnsemble_BestOfFamily_AutoML_20190417_092107
1,3,2,GLM_grid_1_AutoML_20190417_103626_model_1
1,3,2,GLM_grid_1_AutoML_20190417_092107_model_1
1,1,3,GBM_2_AutoML_20190417_121910
1,1,3,GBM_3_AutoML_20190417_121910
1,1,3,GBM_1_AutoML_20190417_121910
1,1,3,GBM_4_AutoML_20190417_121910
1,1,3,GBM_5_AutoML_20190417_121910
1,2,3,DRF_1_AutoML_20190417_121910
1,6,3,DeepLearning_grid_1_AutoML_20190417_121910_model_2
1,6,3,DeepLearning_1_AutoML_20190417_121910
1,4,3,XRT_1_AutoML_20190417_121910
1,1,3,GBM_grid_1_AutoML_20190417_121910_model_2
1,6,3,DeepLearning_grid_1_AutoML_20190417_121910_model_1
1,1,3,GBM_grid_1_AutoML_20190417_121910_model_3
1,6,3,DeepLearning_grid_1_AutoML_20190417_121910_model_3
1,1,3,GBM_grid_1_AutoML_20190417_121910_model_1
1,5,3,StackedEnsemble_AllModels_AutoML_20190417_121910
1,5,3,StackedEnsemble_BestOfFamily_AutoML_20190417_121910
1,3,3,GLM_grid_1_AutoML_20190417_121910_model_1
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_7
1,1,4,GBM_4_AutoML_20190419_190006
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_6
1,1,4,GBM_2_AutoML_20190419_190006
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_8
1,1,4,GBM_3_AutoML_20190419_190006
1,1,4,GBM_1_AutoML_20190419_190006
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_9
1,1,4,GBM_5_AutoML_20190419_190006
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_5
1,2,4,DRF_1_AutoML_20190419_190006
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_1
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_2
1,6,4,DeepLearning_grid_1_AutoML_20190419_190006_model_3
1,6,4,DeepLearning_1_AutoML_20190419_190006
1,6,4,XRT_1_AutoML_20190419_190006
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_4
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_10
1,6,4,DeepLearning_grid_1_AutoML_20190419_190006_model_1
1,1,4,GBM_grid_1_AutoML_20190419_190006_model_3
1,6,4,DeepLearning_grid_1_AutoML_20190419_190006_model_2
1,5,4,StackedEnsemble_AllModels_AutoML_20190419_190006
1,5,4,StackedEnsemble_BestOfFamily_AutoML_20190419_190006
1,3,4,GLM_grid_1_AutoML_20190419_190006_model_1
1,1,5,GBM_3_AutoML_20190419_193106
1,1,5,GBM_1_AutoML_20190419_193106
1,1,5,GBM_2_AutoML_20190419_193106
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_6
1,1,5,GBM_4_AutoML_20190419_193106
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_2
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_7
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_3
1,1,5,GBM_5_AutoML_20190419_193106
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_1
1,2,5,DRF_1_AutoML_20190419_193106
1,6,5,DeepLearning_1_AutoML_20190419_193106
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_5
1,6,5,DeepLearning_grid_1_AutoML_20190419_193106_model_1
1,5,5,XRT_1_AutoML_20190419_193106
1,6,5,DeepLearning_grid_1_AutoML_20190419_193106_model_2
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_4
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_8
1,6,5,DeepLearning_grid_1_AutoML_20190419_193106_model_3
1,1,5,GBM_grid_1_AutoML_20190419_193106_model_9
1,5,5,StackedEnsemble_AllModels_AutoML_20190419_193106
1,5,5,StackedEnsemble_BestOfFamily_AutoML_20190419_193106
1,3,5,GLM_grid_1_AutoML_20190419_193106_model_1